stationName,Lat,Long,tripRatio1,tripRatio2,tripRatio3,tripRatio4,tripRatio5,tripRatio6,tripRatio7,tripRatio8,tripRatio9,tripRatio10,tripRatio11,tripRatio12,tripRatio13,tripRatio14,tripRatio15,tripRatio16,tripRatio17,tripRatio18,tripRatio19,tripRatio20,tripRatio21,tripRatio22,tripRatio23,tripRatio24,tripRatio25,tripRatio26,tripRatio27,tripRatio28,tripRatio29,tripRatio30,tripRatio31,tripRatio32,tripRatio33,tripRatio34,tripRatio35,tripRatio36,tripRatio37,tripRatio38,tripRatio39,tripRatio40,tripRatio41,tripRatio42,tripRatio43,tripRatio44,tripRatio45,tripRatio46,tripRatio47,tripRatio48,totalTrips1,totalTrips2,totalTrips3,totalTrips4,totalTrips5,totalTrips6,totalTrips7,totalTrips8,totalTrips9,totalTrips10,totalTrips11,totalTrips12,totalTrips13,totalTrips14,totalTrips15,totalTrips16,totalTrips17,totalTrips18,totalTrips19,totalTrips20,totalTrips21,totalTrips22,totalTrips23,totalTrips24,totalTrips25,totalTrips26,totalTrips27,totalTrips28,totalTrips29,totalTrips30,totalTrips31,totalTrips32,totalTrips33,totalTrips34,totalTrips35,totalTrips36,totalTrips37,totalTrips38,totalTrips39,totalTrips40,totalTrips41,totalTrips42,totalTrips43,totalTrips44,totalTrips45,totalTrips46,totalTrips47,totalTrips48
UMass Boston Integrated Sciences Complex,42.3139036,-71.0405121,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-0.6,-1,-1,-0.333333333333333,0,-0.714285714285714,0.2,-0.538461538461538,-0.5,0.75,1,0.2,0.555555555555556,0.384615384615385,0.333333333333333,0.8,0.818181818181818,0.454545454545455,0.5,0.25,-0.142857142857143,0,1,1,1,0,0,-1,-1,-1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,8,7,10,13,7,6,4,7,5,13,4,8,8,5,9,13,9,10,11,11,12,8,7,4,2,6,1,0,0,1,1,3,0
JFK / UMASS at MBTA Station,42.320494,-71.051122,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,1,-1,1,0.75,0.466666666666667,0.333333333333333,1,0,-1,0.142857142857143,-0.142857142857143,0,-1,-0.6,-0.333333333333333,0,1,-0.666666666666667,0.0909090909090909,-0.0769230769230769,-0.375,-0.272727272727273,-0.454545454545455,-0.666666666666667,-0.5,-0.333333333333333,0.5,0.5,0.25,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,16,8,15,9,6,4,1,7,14,2,2,5,3,4,1,6,11,13,16,11,22,6,8,12,4,4,8,2,1,0,0,0,0
Charlestown - Main St at Austin St,42.375603,-71.064608,-1,0,0,0,0,0,0,0,0,0,0.333333333333333,1,0.666666666666667,1,0.268292682926829,0.617977528089888,0.76,0.909090909090909,0.176470588235294,0.2,-0.5,-0.0769230769230769,0.0909090909090909,-0.0526315789473684,-0.368421052631579,0.0588235294117647,0.111111111111111,-0.0476190476190476,0.0769230769230769,-0.666666666666667,0.414634146341463,-0.36,-0.368421052631579,-0.772727272727273,-0.584905660377358,-0.24,-0.421052631578947,-0.153846153846154,-0.7,-0.733333333333333,-0.111111111111111,-0.333333333333333,-0.5,0,-1,-0.5,0,0,1,0,0,0,0,0,0,0,0,0,3,2,6,8,41,89,75,44,17,5,4,13,11,19,19,17,18,21,13,36,41,25,38,44,53,50,38,26,20,15,9,3,4,2,1,4,0,0
Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,-0.333333333333333,-1,-0.2,-1,-1,-1,0,-1,0.333333333333333,-1,0,1,1,0.5,0.777777777777778,0.463414634146341,0.4,0.412844036697248,0.421686746987952,0.32,0.235294117647059,0.310344827586207,0.2,0.0476190476190476,-0.217391304347826,0,-0.189189189189189,0.428571428571429,-0.391304347826087,-0.272727272727273,-0.4,0.0714285714285714,-0.48,-0.11864406779661,0.0101010101010101,-0.206106870229008,-0.452991452991453,-0.0112359550561798,0.108108108108108,-0.319148936170213,-0.459459459459459,-0.533333333333333,-0.357142857142857,-0.0434782608695652,0.0909090909090909,-0.130434782608696,-0.523809523809524,1,12,5,5,1,2,1,2,1,3,1,0,1,3,8,9,82,90,109,83,50,34,29,20,21,23,20,37,14,23,22,30,28,50,59,99,131,117,89,74,47,37,30,28,23,11,23,21,4
Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,-0.2,0,-0.5,-0.5,-1,-1,0,0,0,0,1,-0.111111111111111,0.333333333333333,0.777777777777778,0.26530612244898,0.27536231884058,0.594936708860759,0.36,0.333333333333333,0.590909090909091,-0.0140845070422535,-0.51219512195122,-0.0833333333333333,0.36,0,-0.114754098360656,0.127272727272727,-0.155555555555556,0.0555555555555556,0,0.148936170212766,-0.0256410256410256,0.0461538461538462,-0.0277777777777778,-0.113924050632911,-0.354166666666667,-0.037037037037037,-0.475409836065574,-0.0975609756097561,-0.2,-0.241379310344828,0.302325581395349,0.0588235294117647,-0.179487179487179,-0.130434782608696,0,-0.384615384615385,0.111111111111111,10,4,8,4,1,1,0,0,0,0,2,9,3,9,49,69,79,50,57,44,71,41,48,50,46,61,55,45,36,42,47,39,65,72,79,96,81,61,82,40,29,43,34,39,23,12,13,9
Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.3691903176808,-71.1171412467957,0,0,0.6,0.5,0.333333333333333,0,1,1,0,0,-1,1,-1,0.75,0.125,-0.116279069767442,0.142857142857143,0.565217391304348,0.439024390243902,0.242424242424242,0.102040816326531,-0.0344827586206897,-0.333333333333333,-0.130434782608696,-0.037037037037037,-0.189189189189189,-0.0491803278688525,0.2,0.181818181818182,0.302325581395349,0.215686274509804,0.0666666666666667,-0.207547169811321,-0.0526315789473684,-0.238938053097345,-0.256410256410256,-0.0909090909090909,-0.298245614035088,-0.08,-0.485714285714286,-0.111111111111111,-0.103448275862069,0.0666666666666667,-0.125,-0.2,0,-0.125,0.2,12,6,5,4,3,0,1,1,0,0,1,1,1,8,16,43,42,69,82,66,49,29,42,69,54,37,61,50,44,43,51,45,53,57,113,78,55,57,50,35,27,29,30,16,25,16,16,5
Charlestown - Warren St at Chelsea St,42.371848,-71.060292,-1,-1,0,0,0,0,0,0,0,0,0.666666666666667,0.866666666666667,1,0.666666666666667,0.724137931034483,0.626666666666667,0.659090909090909,0.491228070175439,0.0612244897959184,0.04,0.241379310344828,0.76,-0.103448275862069,0.161290322580645,0.0256410256410256,-0.230769230769231,-0.277777777777778,0.0909090909090909,-0.302325581395349,0.106382978723404,-0.105263157894737,-0.0344827586206897,-0.0625,-0.302752293577982,-0.51937984496124,-0.342657342657343,-0.166666666666667,-0.111111111111111,-0.181818181818182,0.12,-0.5,-0.6,-0.75,0.2,0,-0.428571428571429,0.2,0,1,3,0,0,0,0,0,0,0,0,6,15,28,24,58,75,88,114,49,50,29,25,29,31,39,39,36,33,43,47,38,58,96,109,129,143,84,54,22,25,12,5,8,5,12,7,5,2
Wilson Square,42.385582,-71.113341,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,1,1,0.857142857142857,0.938461538461538,1,0.84,1,1,0.428571428571429,0.111111111111111,-0.411764705882353,0.2,-0.142857142857143,0.25,0.333333333333333,0.166666666666667,0.333333333333333,-0.2,-0.714285714285714,-0.714285714285714,-0.333333333333333,-0.6,-0.407407407407407,-0.75,-0.481481481481481,-0.285714285714286,-0.0526315789473684,0,-0.75,-0.777777777777778,-0.5,-0.636363636363636,-0.692307692307692,-0.538461538461538,-1,2,1,0,1,0,0,1,2,0,0,0,2,0,3,6,28,65,35,25,12,4,7,9,17,10,7,8,3,12,6,5,7,7,12,30,27,24,27,14,19,12,8,9,8,11,13,13,3
Alewife MBTA at Steel Place,42.3955884571671,-71.142606139183,-1,0,0,0,0,0,0,0,0,-1,0,0,1,1,0.714285714285714,0.333333333333333,-0.333333333333333,-0.130434782608696,-0.75,-0.2,0.333333333333333,-1,0.333333333333333,1,0.5,-0.2,0.428571428571429,-0.142857142857143,-1,0.6,-0.166666666666667,0,0,-0.142857142857143,-0.032258064516129,-0.2,-0.411764705882353,-0.384615384615385,-0.666666666666667,-1,-1,-1,-0.5,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,7,3,12,23,8,5,3,1,3,4,4,5,7,7,4,5,12,4,8,7,31,15,17,13,6,3,2,3,4,2,1,0,0,0
Chelsea St at Saratoga St,42.3798032124664,-71.0274481773376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-1,0,0,0,1,0,0,-1,0,-1,0,1,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,4,0,3,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0
Bennington St at Byron St,42.3833784188367,-71.0161203148164,0,0,0,1,-0.333333333333333,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0
Piers Park- Marginal St at East Boston Shipyard,42.3648904554155,-71.0350424052376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,-1,0,0.333333333333333,-1,0,-1,1,0,0,0,0.5,0,0,0,-0.5,-1,0,0,0,0,0,1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,2,4,3,1,2,1,1,0,0,2,4,8,4,0,4,1,0,0,0,2,0,1,1,1,0,2
Maverick Sq - Lewis Mall,42.3688385713652,-71.0397666694917,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,-1,-1,0.333333333333333,-1,-1,-0.142857142857143,0.333333333333333,0.142857142857143,1,-0.333333333333333,0.5,-1,-1,1,-0.333333333333333,-1,-0.2,1,-0.428571428571429,-0.2,-0.2,-1,1,-0.5,1,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,4,3,2,2,7,3,7,1,3,8,1,3,5,6,4,5,1,7,10,5,1,2,4,2,1,0,6,1,0,0,1
EBNHC - 20 Maverick Sq,42.369562869377,-71.0394269227981,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,0,-1,1,1,0.333333333333333,0.333333333333333,-0.333333333333333,0.5,-1,0.333333333333333,0.333333333333333,1,-0.5,0.5,1,0.5,0,1,1,0,0,-1,-1,1,1,-0.333333333333333,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,2,1,1,1,3,3,3,4,1,3,3,1,4,4,1,4,2,3,4,4,2,1,1,2,1,3,1,0,1,1,0
Airport T Stop - Bremen St at Brooks St,42.3753668601549,-71.0313588380814,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,1,0.333333333333333,-0.5,-1,1,-0.5,1,0.0909090909090909,0.333333333333333,-0.333333333333333,-0.2,-1,-0.6,0.333333333333333,0,0.428571428571429,-0.2,-0.666666666666667,0.25,0.2,0,0,0,-1,-1,0,-1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,3,4,2,3,4,3,11,9,3,10,4,5,3,6,7,5,6,8,5,6,12,4,2,1,0,1,0,0,1,1,0
The Eddy at New Street,42.370784546005,-71.0442616045475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0.6,-0.333333333333333,0,1,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,5,3,2,1,2,0,1,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1
Glendon St at Condor St,42.3824473641586,-71.0302323102951,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,0,-1,-1,0,0,1,1,1,-1,0,-0.5,0.333333333333333,1,1,-0.2,0,-1,-0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,1,0,0,2,2,3,0,1,1,0,0,1,1,1,1,0,4,3,2,2,5,2,1,3,0,0,0,0,0,0,0,2,0,0,2
Orient Heights T Stop - Bennington St at Saratoga St,42.3867317852993,-71.0062122345516,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.2,0,-1,0,-1,-1,0,1,0,0,1,0,0.333333333333333,-1,-0.333333333333333,-1,1,-1,0,0.333333333333333,0,0,-1,0,0,1,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,1,2,2,2,2,1,0,0,2,6,3,4,3,1,1,2,0,3,0,0,2,0,0,1
8D OPS 03,45.505086,-73.566921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sidney Research Campus/ Erie Street at Waverly,42.357753094652,-71.1039340496063,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,-0.5,-0.351351351351351,-0.333333333333333,0.272727272727273,0.692307692307692,0.333333333333333,0.466666666666667,0.333333333333333,0.692307692307692,0.6,-0.272727272727273,0.142857142857143,0.0909090909090909,0.333333333333333,0.111111111111111,0.714285714285714,0.272727272727273,0.1,0.548387096774194,0.6,0.461538461538462,0.666666666666667,-0.428571428571429,-0.333333333333333,-0.666666666666667,0.2,-1,-1,-1,-1,0,-1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,2,2,32,37,12,11,13,9,15,24,13,10,11,7,11,12,9,7,11,20,31,25,26,6,7,6,6,5,2,2,3,2,0,1
Third at Binney,42.365444861374,-71.0827714204788,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-0.333333333333333,-0.333333333333333,-1,0,-0.6,0,-1,0,-1,0,0,0,1,1,0,1,0,1,1,0.333333333333333,0,-1,1,0,1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,6,3,1,0,5,0,1,0,1,0,0,0,1,2,0,1,0,2,2,3,0,1,3,0,2,0,0,1,0
Watermark Seaport,42.3515431047232,-71.0457301139832,1,0,0,0,0,0,0,0,0,0,0,0,-1,-0.818181818181818,-1,-0.739130434782609,-0.541666666666667,-0.764705882352941,-0.892857142857143,-0.641025641025641,-0.176470588235294,0.222222222222222,-0.0769230769230769,0.111111111111111,0.111111111111111,0.217391304347826,0.25,-0.176470588235294,0,0.217391304347826,0.578947368421053,0.222222222222222,0.76,0.476190476190476,0.582089552238806,0.606060606060606,0.578947368421053,0.333333333333333,0.04,0.666666666666667,-0.333333333333333,0.0909090909090909,-0.285714285714286,-0.2,0.333333333333333,0.428571428571429,0.333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,2,2,11,11,23,48,68,56,39,17,18,26,18,18,23,24,17,18,23,19,18,25,42,67,66,57,39,25,12,3,11,14,15,9,7,3,3
Columbus Ave. at Mass. Ave.,42.340799,-71.081572,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,-1,1,1,0,1,0,0,-1,1,1,1,0,-1,0,-1,0,1,0,0.333333333333333,1,-0.333333333333333,0,1,1,-1,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,4,2,0,1,0,0,1,1,2,1,0,2,0,1,0,2,4,3,1,3,0,1,1,4,0,1,1,0,2,0
8D OPS 01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
